"Daily Weather Observations for Cabramurra, New South Wales for November 2019"
"Prepared at 13:00 UTC on Sunday 11 October 2020   IDCJDW2023.201911"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Temperature, humidity, wind and rainfall observations are from Cabramurra SMHEA AWS {station 072161}"
"Cloud observations are from Tumbarumba Post Office {station 072043}"

"date","temperature_minimum_degC","temperature_maximum_degC","rainfall_mm","maximum_wind_gust_direction","maximum_wind_gust_speed_kph","maximum_wind_gust_time","temperature_9am_degC","relative_humidity_9am_pc","cloud_amount_9am_oktas","wind_direction_9am","wind_speed_9am_kph","temperature_3pm_degC","relative_humidity_3pm_pc","wind_direction_3pm","wind_speed_3pm_kph","sunrise","sunset","astronomical_twilight_start","astronomical_twilight_end","nautical_twilight_start","nautical_twilight_end","civil_twilight_start","civil_twilight_end","solar_noon"
2019-11-1,13.9,22.5,0,NNW,43,14:00,17.1,45,6,N,11,21.0,27,NW,22,06:03,19:37,04:29,21:11,05:03,20:37,05:36,20:04,12:50
2019-11-2,14.1,20.0,0,WNW,61,22:42,15.1,52,6,N,22,18.9,44,NNW,26,06:02,19:38,04:27,21:13,05:02,20:38,05:35,20:05,12:50
2019-11-3,9.6,12.8,19.8,N,52,10:20,12.3,99,7,NNW,26,10.5,100,W,22,06:01,19:39,04:26,21:14,05:01,20:39,05:34,20:06,12:50
2019-11-4,5.9,10.0,33.2,WNW,61,11:28,6.5,100,,WNW,28,7.7,76,WNW,31,06:00,19:40,04:25,21:15,04:59,20:40,05:33,20:07,12:50
2019-11-5,0.8,9.5,4.2,W,41,23:58,2.7,99,7,WSW,7,8.2,66,WNW,17,05:59,19:41,04:23,21:17,04:58,20:42,05:31,20:08,12:50
2019-11-6,2.1,11.6,0,WNW,72,22:57,5.8,69,3,WNW,26,7.8,73,WNW,26,05:58,19:42,04:22,21:18,04:57,20:43,05:30,20:09,12:50
2019-11-7,0.6,6.9,0,W,74,00:13,0.7,99,7,WNW,33,4.8,81,WNW,33,05:57,19:43,04:21,21:20,04:56,20:44,05:29,20:10,12:50
2019-11-8,0.7,3.7,2.6,WNW,61,03:38,3.4,100,8,WNW,31,0.8,100,W,20,05:56,19:44,04:19,21:21,04:55,20:45,05:28,20:12,12:50
2019-11-9,-3.5,2.0,26.8,W,56,18:26,-2.1,83,4,W,26,0.9,88,W,26,05:55,19:45,04:18,21:22,04:54,20:46,05:27,20:13,12:50
2019-11-10,-2.1,7.5,0.8,W,59,02:02,1.9,100,5,WSW,17,4.2,100,WNW,17,05:54,19:46,04:17,21:24,04:53,20:48,05:27,20:14,12:50
2019-11-11,1.8,14.9,0,W,43,11:05,7.0,91,,WSW,19,13.1,53,WNW,20,05:54,19:47,04:16,21:25,04:52,20:49,05:26,20:15,12:50
2019-11-12,6.9,14.4,0,WNW,69,15:20,10.2,37,8,N,31,12.9,44,WNW,31,05:53,19:48,04:14,21:27,04:51,20:50,05:25,20:16,12:50
